K,chance_kg,h_cross,h_cross_null,h_rep,h_rep_null,ratio
25,0.0037639265281541705,0.1,0.03125,0.16,0.0,0.4296875
50,0.007527853056308341,0.1,0.04,0.13,0.02,0.5454545454545455
100,0.015055706112616682,0.10500000000000001,0.051562500000000004,0.115,0.035,0.6679687500000001
200,0.030111412225233364,0.11499999999999999,0.071875,0.1125,0.052500000000000005,0.71875
288,0.04336043360433604,0.125,0.08528645833333333,0.11458333333333334,0.064453125,0.7922077922077921
500,0.07527853056308341,0.146,0.11424999999999999,0.132,0.095125,0.8610169491525422
