pair,K,h_cross,h_cross_null,h_rep,h_rep_null,excess_cross,excess_rep,ratio,verdict
K562-RPE1,288,0.125,0.09027777777777778,0.1892361111111111,0.08832465277777778,0.034722222222222224,0.10091145833333333,0.34408602150537637,MARGINAL
K562-Jurkat,288,0.125,0.07899305555555555,0.11458333333333334,0.06217447916666667,0.04600694444444445,0.05240885416666667,0.8778467908902692,GO
K562-HepG2,288,0.11805555555555555,0.07595486111111112,0.11284722222222222,0.064453125,0.042100694444444434,0.048394097222222224,0.8699551569506724,GO
RPE1-Jurkat,288,0.1284722222222222,0.09722222222222222,0.17881944444444445,0.08799913194444445,0.031249999999999986,0.0908203125,0.3440860215053762,MARGINAL
RPE1-HepG2,288,0.18055555555555555,0.11848958333333333,0.17708333333333331,0.09027777777777778,0.062065972222222224,0.08680555555555554,0.7150000000000002,GO
Jurkat-HepG2,288,0.1111111111111111,0.08029513888888888,0.10243055555555555,0.06412760416666667,0.030815972222222224,0.03830295138888888,0.8045325779036829,GO
