group,context,E_Rp,q25,q75,K_opt,E_J,pi0,tau
V 本届靶,A,11.224395565547608,6.421628879680338,52.11054654645622,10.0,0.5772853785771634,0.9945607043585571,0.4954573651783608
V 本届靶,B,11.696640435640948,6.779361459214235,59.312537993149874,10.0,0.5722122544264887,0.9945607043585571,0.4954573651783608
V 本届靶,C,10.945548494018016,6.096666078456136,47.09011025610313,10.0,0.578682419555193,0.9945607043585571,0.4954573651783608
E 必需,A,163.3046730890832,15.49306157219904,541.8115711411551,160.0,0.5457457995113673,0.47494126666559916,0.2155398061542942
E 必需,B,185.69831442940878,17.142399175760143,604.5772023747335,181.0,0.5387604812081767,0.47494126666559916,0.2155398061542942
E 必需,C,149.8796368590746,14.585924998949519,515.5126940058981,146.0,0.545219495318057,0.47494126666559916,0.2155398061542942
